Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,8290,251.3464,-70,51357,6.98
zED8kkYKZj4,Claudia Valentina - Candy (Lyrics),"May 27, 2025",119,2096,48.878,0,17021,7.78
yuHHPudTyRk,Tom Gregory - Rather Be You (Lyrics),"Oct 20, 2020",177,1531,59.0217,1,7763,9.34
RGNwa9TkcFU,Mike Perry - By Your Side (Lyrics),"Sep 24, 2020",156,508,16.9571,0,3697,6.25
 -yquaLFqjE4,Deacon - Long Run (Lyrics) feat. Nina Nesbitt,"Jul 10, 2020",185,276,11.3942,0,2222,5.99
hxUKTYKvSLI,Noah Kahan - Northern Attitude,"Sep 20, 2022",261,222,10.4583,0,1373,6.12
E8V9VGLqnfA,Eric Nyxx - Peligrosa,"Jul 9, 2025",198,196,7.9169,0,420,7.86
gDcpuYxLxyY,Alex Aster - Divine (Lyrics),"Apr 20, 2020",176,124,3.556,0,456,9.65
rBs6FIkfmrI,Altero - One Day (Lyrics) ft. NVRT,"Jun 20, 2020",186,119,4.0737,0,858,4.31
TjaqW5HpVRk,"KLANGKARUSSELL X GIVVEN - Sun Went Down , Sky Went Dark","Aug 14, 2025",254,111,5.3794,0,386,11.92
53bjuc_rc7E,Thierry von der Warth & Joki - Mina Kupenda,"Jun 7, 2025",124,102,2.7383,0,764,6.41
g2AEaKHnSNE,Claudia Valentina - 4:15 (Lyrics),"Oct 30, 2020",201,100,2.9002,0,932,5.79
 -dr0zfXvHp4,A7S x David Guetta x Wizkid - Lighter (Lyrics),"Jun 27, 2025",190,82,2.4964,0,507,5.52
tC0s3YoE1Rc,Skippy - Suicide Letter (Lyrics),"Aug 21, 2020",210,78,2.4399,0,479,6.47
KLRm8C8skoE,Gabrielle Aplin - When The Lights Go Out (Lyrics),"Jan 4, 2021",188,77,0.8625,0,161,6.83
QHn4bjq5dvo,Sad Puppy - Thinking of You (Official Lyrics),"Sep 10, 2020",157,66,1.5384,0,572,6.99
06hOWngKWR4,Lisa Heller - Wings (Lyrics),"Jul 19, 2020",241,65,2.9506,1,333,6.91
b0LAXmACn34,Georgia Webster - Push and Pull (Lyrics),"Mar 26, 2021",188,65,1.0794,0,528,8.9
x6ZmpgZ5m_A,"Harris Jayaraj, Rohini, Pritt & dilushselva - Unakkul Naane","Jul 10, 2025",129,54,1.1642,1,257,6.61
8qAfXHHq-XI,Salem - Fall Out Of Love feat. Carlie Hanson,"Jan 28, 2022",201,45,1.608,1,539,4.82
hb_uu29mvGE,"Stadiumx, Petey Martin & Sam Martin - September","Sep 23, 2022",169,42,0.715,0,68,7.35
ODIYZbkQBxA,Mauve - Feels so Good (Lyrics),"May 24, 2025",164,37,1.0442,0,145,5.52
ABJlzfvXX74,Luna Bala (Afro House),"Jul 12, 2025",230,37,1.5637,0,123,10.57
gokyGelbQtc,TMPST x Maynørr x Courtney Storm - 8 Hours (Lyrics),"Apr 30, 2025",172,34,1.3024,0,184,9.78
e7bxq9Qldqs,Mike Perry - Looking At U,"Nov 26, 2021",168,31,1.1934,0,127,5.51
lr3qHxlyOFM,Lucas Estrada X Modi X Thierry Von Der Warth - Sweet Sunrise,"Aug 10, 2025",198,31,1.5139,0,421,0.24
s6s4_lMEaP8,Petey Martin & Lauren Daigle - Come Back Home (Lyrics),"Jan 9, 2021",181,29,0.8715,1,173,9.83
uXPgksR54rQ,Jonathan & Friends - Start Up feat. Loote & emma løv,"Jan 14, 2022",179,26,0.6978,0,217,3.23
ksz4_kkyLaI,AFRO VIBES MIX 2025 | The Best of AFRO HOUSE MUSIC,"May 14, 2025",1307,25,1.2119,0,10,0
lENNv2XWikQ,Ella Mai – Not Another Love Song (Lyrics),"Oct 6, 2020",219,25,1.2724,0,255,8.24
Em_4oeIJkwU,James Blake - Godspeed (Lyrics),"Sep 29, 2020",174,24,0.5078,0,274,4.38
PlapvqnVe6Y,Stryv X Malachiii X Adam Port - Positions,"Jun 28, 2025",149,23,0.5695,0,229,2.18
yHFljKR9xrg,Noah Kahan - Pride (Lyrics) feat. mxmtoon,"Oct 23, 2020",170,22,0.7036,0,198,5.56
qNFXXx36WIw,Natalie Taylor - For a Reason (Lyrics),"Jan 27, 2021",190,22,0.2632,0,11,9.09
q0LgnUlgR-o,"Dynoro, HVME & Gaudini - Why Why Why","Apr 22, 2022",176,22,0.4832,0,189,1.06
erzd0lnOckE,Vall - Next To You (Lyrics) feat. Koa,"Jan 14, 2021",188,22,0,0,48,0
cCdJoJGV55I,Adam Port & Stryv - Move feat. Malachiii (Lyrics),"May 29, 2025",178,22,0.3424,1,19,5.26
loT8EGuwYB8,Lucas Estrada X Naarly X FIRSTCLASS - Heat (Lyrics),"Jun 24, 2025",143,21,0.5092,0,191,4.71
pnw8PkLRoco,Jahmiel Jamaica -Way O Way O (ICC Cricket World Cup 2019),"Jun 14, 2019",177,20,0.0703,0,63,23.81
rsNdkdTzEq0,Emilee - Hide // Lyrics [FV Release],"Aug 11, 2020",112,20,0.4776,0,92,6.52
lAE7MIxuqkU,Georgia Webster - Tell Your Mom (Lyrics),"Nov 16, 2020",184,18,0.468,0,111,7.21
ly97ds8j1wI,Georgia Webster - X's (Lyrics),"Sep 23, 2022",156,18,0.653,0,160,8.13
MOsaH_vVuxo,Solven - It's Over,"Jun 6, 2025",201,18,0.164,0,66,24.24
qcnKfGxMnj8,Chloe Adams - Jail Time (Lyrics),"Oct 11, 2020",162,18,0.5615,0,236,4.66
PTfggx24x6U,Adam Yaron - Warmer (Stripped) [Lyrics / Lyrics Video],"Jul 16, 2020",204,17,0.8834,0,96,12.5
SyHRSEy2VNQ,Claudia Valentina - Seven (Lyrics) [Re - Upload],"Aug 18, 2025",225,16,0.1479,0,38,5.26
PfjiN3kmwnY,Nico de Andrea & Auguste - What You Thinking Of feat. Mougleta,"Aug 13, 2025",223,16,0.6481,0,47,6.38
4Mbu1IlSg5I,Niki Demar - Alone In My Car (Lyrics),"Sep 28, 2020",203,15,0.7436,0,61,13.11
YKbRQvATb8U,Eloi El - Stick together,"Oct 18, 2022",184,15,0.4015,0,48,16.67
il1wGfTnHnw,PhatAdam X Gl:ow X palffi – Closer To The Sun,"Jun 22, 2025",138,15,0.1455,0,32,0
 -nIH47Yp3Yw,Neptune & Yaeow - The Way I Love You (Lyrics),"Jul 30, 2020",162,15,0.3659,0,42,26.19
L74EeAKdHh8,Arijit Singh X Pritam X Sandeep Shrivastava X  Qaisar Ul Jafri - Mausam (Lyrics),"Jun 27, 2025",255,14,0.1587,0,53,0
C5TMUqzsZzg,Robin Schulz & Felix Jaehn - One More Time feat. Alida (Lyrics),"Feb 27, 2021",200,14,0.6281,0,46,0
K645TcojdEM,With U & Merlin - How Deep Is Your Love (Lyrics),"Jun 13, 2025",202,13,0.2467,0,70,10
zMts_iZz1u0,Vin Diesel - Feel Like I Do (Lyrics),"Sep 27, 2020",192,12,0.2748,0,33,9.09
1PaKgjzbbNY,Cadmium - High On You feat. Robbie Rosen,"Dec 17, 2021",181,12,0.3887,0,50,2
6-AHAVCaRwM,PLV Music - Summer Nights (Lyrics),"Jun 24, 2021",189,12,0.031,0,51,21.57
 -RQpU3niiFk,Claudia Valentina - I luv that babe,"Jul 18, 2025",198,12,0.1274,0,111,6.31
AT20k1DEPRc,SRTW & COLIN - Shine On,"Sep 8, 2023",112,11,0.2525,0,24,8.33
GnADkBzTjYQ,Cadmium - Comfortable (Lyrics) feat. Alex Hackett,"Jul 23, 2020",182,10,0.3544,0,37,2.7
cbpamL6CmLA,Acejax - By My Side (Lyrics) Feat. Danilyon,"Aug 9, 2020",179,10,0.229,0,116,3.45
sq6pkhvnyrU,Niki Demar - Bite of Me (Lyrics),"Oct 23, 2020",179,10,0.424,0,163,7.36
X8RbA_cnQp0,OLI - Cry,"Dec 23, 2021",188,10,0.1802,0,157,3.18
pbw3SnkZu_g,Sam Feldt & The Him - Use Your Love (Lyrics) feat. Goldford,"Oct 10, 2020",180,9,0.1965,0,87,1.15
i_RMP6eGE-Y,RobbieG & JYYE - Somebody Called Love feat. Julia Temos,"Nov 30, 2021",143,9,0.0192,0,38,2.63
Ha_xAZ80mC8,Y.V.E. 48 - Days Go By (Lyrics),"Aug 17, 2020",160,9,0.1064,0,24,12.5
uRcm0NOaZWU,Kayou. - Mercury Retrograde,"Jan 1, 2022",197,9,0.7935,0,90,1.11
ugmVNHNW_GM,Becoming Young - Reckless (Lyrics),"Aug 3, 2020",181,9,0.3782,0,24,16.67
lwMdl5C9UL0,KSHMR - I Will Be A Lion (Lyrics) feat. Jake Reese,"Mar 19, 2021",224,8,0.1706,0,72,4.17
4KU_zbnE-RY,LANY - Heart won't let me (Lyrics),"Oct 2, 2020",200,8,0.3352,0,23,8.7
2TjQhrnDY7E,Kevin Chambers - The Way Home (Lyrics / Lyrics Video),"Jul 16, 2020",282,8,0.0672,0,13,0
mqRrXU3Q0FM,Labrinth - No Ordinary (Lyrics),"Oct 9, 2020",188,8,0.1807,0,73,8.22
MwF-q6EUyKM,Cabuizee & Britt Lari - Closer,"Sep 16, 2020",213,8,0.2894,0,177,1.13
aO-UZk4FH9k,Olivia Holt - Talk me out of it (lyrics),"Dec 22, 2020",173,8,0.4058,0,64,1.56
6nhNzEG_qdk,Scorz & Mokita - Scared Of Us,"Jan 14, 2022",212,7,0.5617,0,13,0
i18pWZ3P9Kk,TELYKast & Loren Gray - Nobody To Love (Lyrics),"Mar 14, 2021",147,7,0.1353,0,81,3.7
6PePvi0FCFQ,Halsey - I'm Not Mad (Lyrics),"Oct 2, 2020",175,7,0.046,0,22,4.55
DzH199CWBN8,Justin Mylo - I Remember (Lyrics) feat. STRNGRS,"Apr 10, 2021",210,7,0.2607,0,54,7.41
E5q5oaLtjB8,Alexa Mansour - Can't Stop Myself (Official Music Video),"Oct 18, 2020",183,7,0.0873,0,20,5
GTDgLGHRMDA,Emma Oliver & Loyalties - Sad Sometimes (Lyrics),"Jul 26, 2020",242,7,0.1157,0,53,3.77
 -EWxKM8c-rk,Loud Luxury - R U DOWN?,"Jun 28, 2025",141,7,0.2246,0,119,4.2
EQVWQClTKTQ,R3HAB - Ten Out Of Ten feat. ROU,"Jul 10, 2025",166,7,0.1532,0,72,6.94
CUkwI1nUIjU,Annika Wells - Crying Over You,"Jun 30, 2023",164,7,0.1669,0,45,8.89
qPdFOe-fbcA,Cheat Codes X Enisa X Edward Maya - Be Your Friend,"Jun 29, 2025",161,7,0.221,0,114,5.26
ilKm0hHD_wY,TWO OF YOU – Do It Again,"Aug 11, 2025",163,7,0.0901,0,33,18.18
tGriGOgs5dE,Merzzy X DJ Rony - Walhala,"Aug 10, 2025",292,6,0.0699,0,78,5.13
FHeSoGjJrOI,Alesso & Armin Van Buuren - Leave a Little Love (Lyrics),"Feb 27, 2021",188,6,0.2356,0,63,1.59
I5mouuGyQ7M,Hilliard & Romy Dya - Let’s Play (Lyrics),"Jul 20, 2020",166,6,0.0206,0,10,10
GMVBvx3m30I,Alessia Cara - Feel You Now,"Nov 13, 2021",188,6,0.4449,0,12,16.67
tAYxVPWDomA,Alex Angelo - Falling Up (Lyrics),"Jun 19, 2020",167,6,0.0351,0,78,3.85
sJrlsFlTkkI,Mauve - Nightsky (Lyrics),"Jun 27, 2020",182,6,0.0772,0,134,2.24
SN1EfkVrxcE,Colin & Caroline - Miles Away,"Jan 14, 2022",236,6,0.1166,0,2,0
xc4Gs_OQulg,Kristin Dope - Wanna Leave (Lyrics),"May 28, 2022",219,6,0.0395,0,1,0
wrDn1f5tYBo,LØLØ x Maggie Lindemann - debbie downer,"Feb 11, 2022",160,6,0.0577,0,17,0
GWtVX1oFV0Q,Mauve - 1984 (Lyrics),"May 23, 2020",161,6,0.0151,0,27,11.11
_AwlODATFkc,"LANY - the older you get, the less you cry","Nov 5, 2021",203,6,0.3895,0,66,9.09
3Ei1hAbL-zQ,CATBEAR - Who Cares? (Lyrics),"Jun 17, 2025",145,6,0.2495,0,22,18.18
FO_7x1bEfgQ,Deep Chills - Flaws,"Apr 20, 2022",171,6,0.1292,0,74,0
 -EdMbLSiasE,"Ella Vos - Dreaming, backwards (Lyrics)","Aug 4, 2020",214,5,0.2553,0,72,0
UBW9-JDCSlo,The AfroVision - Fade Away,"May 31, 2025",280,5,0.1084,0,28,3.57
l4ohrojYJ5A,Kailash Kher & Kunaal Vermaa - Shakti Dena,"Jun 27, 2025",243,5,0.0781,0,12,8.33
tdpg_3gZuuw,James Carter - Tell Me feat. Hanne Mjøen,"Feb 11, 2022",128,5,0.0584,0,10,10
apf8klOHMx4,Elise Azkoul - Like Nobody (Lyrics),"Nov 9, 2020",173,5,0.0585,0,10,20
3YbzE8lunFs,Mike Perry & Hot Shade - I Like it,"Feb 25, 2022",157,5,0.1898,0,25,8
Xn7dsRgjyWE,Slowbrew - Your Mind (Lyrics) ft. madugo,"Jun 25, 2020",154,5,0.0426,0,23,0
N2phTQzuc3c,Seeb & Nina Nesbitt - Sweet Dreams And Dynamite,"Nov 19, 2021",159,5,0.1794,0,31,3.23
wLvYJ0vxiyo,Abigail Barlow & Ariza  - Stayed Strangers,"Feb 19, 2022",206,5,0.1462,0,26,11.54
cOwsP08E9wk,artcriminal - SAPNE,"Aug 3, 2025",176,5,0.083,0,55,5.45
HwHfySWtMm8,Hogland - Used To feat. EEVA,"Mar 11, 2022",153,5,0.1273,0,25,20
KSUt2ZMDxKs,Olivia Lunny - Think of me (Lyrics),"Dec 9, 2020",167,5,0.0729,0,64,4.69
UXKN8Ju1IjM,Kastra - Without You feat. Linney,"Nov 20, 2021",190,5,0.1089,0,55,7.27
anpXbAtDyKY,Carlie Hanson - EGO (Lyrics) feat. Iann Dior,"Sep 25, 2020",159,5,0.0233,0,22,22.73
PMWxXlxg-8M,Alexa Cappelli - Whiplash,"Jan 13, 2022",189,5,0.1551,0,31,12.9
QUzaw9VEo_U,Yaeow - When I'm No Longer Here (Lyrics),"Jul 3, 2020",169,4,0.0535,0,10,10
YxwBQLkiUnU,"Alesso, CORSAK & Stray Kids - Going Dumb (Lyrics)","Mar 19, 2021",169,4,0.0322,0,34,5.88
RI-m4lAcjUs,Vishal Mishra X Hansika Pareek X Raj Shekhar - Tum Ho Toh,"Jun 21, 2025",198,4,0.1001,0,2,0
#NAME?,No Treasure - Neverland (Lyrics) feat. Marmy,"May 23, 2020",161,4,0.0341,0,23,8.7
MVDxLRk6qKg,Becoming Young - Temptation (Lyrics),"Aug 27, 2020",158,4,0.1316,0,29,0
hG7jdbBuj98,Soundland x PIECES (feat. Sam Heselwood) - Two Hearts Ignite,"Aug 12, 2025",161,4,0.0569,0,22,0
aFVnGKY5T90,andhim x AMEME x Malou - Feel The Love (Lyrics),"May 3, 2025",184,4,0.0912,0,47,2.13
Kd9uZCNT8Oo,Sarah Barrios - Help (Lyrics) feat. Rence,"Oct 16, 2020",189,4,0.0127,0,6,50
MNGpXdDyDvs,Drew Schueler - Head Start (Lyrics),"Jun 11, 2020",218,4,0.0083,0,5,0
mF5LkqNddiw,Mindblow x aMouse x Catching Sunrises x Rob Rivera - Tennis Court,"Aug 17, 2025",178,4,0.1366,0,33,9.09
mkpTXhzR2zM,Deep Chills - Bali Dreams,"Nov 18, 2022",150,4,0.0124,0,39,7.69
JeD5Y1pOozw,Anuj Rehan x Ananya Sharma x Amit Verma - Rangreza,"Jul 19, 2025",156,4,0.0008,0,22,0
jdbBe2lEbJo,Haywood - Cheers to us (Lyrics) feat. Loote,"Mar 27, 2021",185,4,0.0306,0,98,4.08
lpoYZI59G4A,Kate Vogel - New Mexico Sunrise (Lyrics),"Jul 18, 2020",267,4,0.0752,0,15,6.67
BQMEqJPThlM,Munn - Without Ya // (Lyrics),"Aug 8, 2020",162,4,0.1341,0,68,1.47
80LgEiHwHC8,Your Paris - Standing in Your Doorway (Lyrics / Lyrics Video),"Jul 15, 2020",214,4,0.0113,0,12,8.33
mtsOSEz9GHo,Ella Vos - Glitter and Tears,"Oct 25, 2022",200,4,0.0614,0,10,10
csRyeMke0zA,Liam Mogan - Alone in the City (Lyrics),"Sep 30, 2020",183,4,0.0169,0,1,0
Ls0BLGolxco,Martin Jensen - Faith,"Nov 13, 2021",191,4,0.0659,0,20,15
zK6eKGbcoH0,St. Lundi - Fall,"Jun 30, 2023",175,3,0.1022,0,32,9.38
VTuC_MEv7FM,Yultron - Anybody Out There feat. HENRY & Sara Phillips,"Sep 8, 2023",192,3,0.1128,0,4,0
u5hKg3vXVbU,Abigail Barlow & Ariza - Where's That Girl? (Lyrics),"Dec 3, 2020",218,3,0.0077,0,23,8.7
vVg0Fok9lTA,Vin Diesel - Days Are Gone (Lyrics),"Nov 1, 2020",203,3,0.0138,0,38,5.26
i07JK7VnK8w,Johnny Orlando - I Don't feat. DVBBS (Lyrics),"Mar 25, 2021",182,3,0.0669,0,55,5.45
aI4eLE3tlXo,Neptune - Fly Girl (Official Lyrics),"Aug 10, 2020",102,3,0.032,0,2,0
Qlaghha1-kI,Chaz Mazzota - You're the One (Lyrics),"Aug 1, 2020",213,3,0.0727,0,41,2.44
X8kRyF0xNgY,Fritz Kalkbrenner - When I See You,"Jul 23, 2025",198,3,0.1112,0,26,3.85
x_F4_cVb4go,elsaaa - Pull me closer,"Apr 29, 2025",138,3,0.0421,0,13,15.38
ECxS7JUQ48w,Beautiful Beats - i'm so alone,"Feb 16, 2022",159,3,0.0034,0,4,25
HnblOipM8ak,Mike Perry - Believe,"Oct 21, 2023",162,3,0.0905,0,18,11.11
 -yLrijS7jJg,Richie Krisak - Butterfly (Lyrics) ft. Next To Neon,"May 5, 2020",179,3,0.0101,0,52,7.69
FAOOf74ULd4,NLSN - Wake up with you (Lyrics),"May 25, 2025",146,3,0.3042,0,39,7.69
ls65Z5yNSWs,ELLIANA - Thinking,"Sep 15, 2020",162,3,0.0514,0,25,0
5i7uhFg6e3A,Claudia Valentina - If I'm Being Honest (Lyrics),"Oct 30, 2020",183,3,0.0325,0,17,5.88
m25WRMXAeRc,Gabrielle Aplin - Skylight,"Dec 24, 2021",241,3,0.0687,0,51,3.92
m8cRBynWGGc,Tones And I - Dance Monkey (Lyrics),"Jun 13, 2020",237,3,0.1024,0,134,2.24
m4ldonnV8Xw,Chris Linton & Cadmium - Slow Down (Lyrics),"Aug 15, 2020",218,3,0.0061,0,15,6.67
LOO88LDuKQk,Afro vibes!!,"Aug 11, 2025",30,3,0.0011,0,38,0
O6KuprI0Glg,Annika Bennett - Your World (Lyrics),"Nov 29, 2020",207,3,0.0738,0,35,5.71
JlaCJWev6S4,Sam Feldt - Stronger (Lyrics) feat. Kesha [Frank Walker Remix],"Mar 25, 2021",171,3,0.2591,0,23,4.35
D0YzlSHlqH4,Teddy Beats & Britt Lari - All of Me (Lyrics),"Sep 11, 2020",223,3,0.0676,0,6,16.67
zYY-E0SbYYs,Misha Miller - Red Blue,"Dec 1, 2021",155,3,0.0489,0,22,4.55
XMDMDa2c5qY,Aditya Rikhari & Ankita Chhetri - Sahiba,"Jul 10, 2025",184,2,0.0563,0,6,0
